,sentences1,sentences2,is_similar
13,0SLEEVELESS 1BACK ZIP FASTENING 2MIDI 3REGULAR FIT 4PLAIN 2MIDI 6ROUND NECK 7UNLINED 8VISCOSE 9NAVY 5TUNICS 12.73,0SLEEVELESS 1PULL ON 2MAXI 3REGULAR FIT 4PLAIN 2MAXI 6V NECK 7UNLINED 8VISCOSE MIX 9NAVY 5NA7 4.57,0
14,0LONG SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8VISCOSE MIX 9NAVY MIX 5SWING DRESS 5.78,0LONG SLEEVE 1NA12 2KNEE LENGTH 3NA3 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8VISCOSE 9BLUE MIX 5SWING DRESS 4.05,1
15,0LONG SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8VISCOSE MIX 9NAVY MIX 5SWING DRESS 5.78,0SHORT SLEEVE 1BACK BUTTON FASTENING 2FULL LENGTH 3NA3 4ANIMAL PRINT 2FULL LENGTH 6ROUND NECK 7UNLINED 8VISCOSE 9YELLOW MIX 5JUMPSUITS 13.09,0
16,0LONG SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8VISCOSE MIX 9NAVY MIX 5SWING DRESS 5.78,0SLEEVELESS 1BACK BUTTON FASTENING 2FULL LENGTH 3NA3 4PLAIN 2FULL LENGTH 6ROUND NECK 7UNLINED 8SYNTHETIC 9BLACK 5JUMPSUITS 16.39,0
17,0LONG SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8VISCOSE MIX 9NAVY MIX 5SWING DRESS 5.78,03 QUARTER SLEEVE 1NA12 2KNEE LENGTH 3NA3 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8SYNTHETIC 9NAVY MIX 5SHIFT DRESS 5.3,0
18,0LONG SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8VISCOSE MIX 9NAVY MIX 5SWING DRESS 5.78,0LONG SLEEVE 1NA12 2KNEE LENGTH 3NA3 4FLORAL 2KNEE LENGTH 6ROUND NECK 7UNLINED 8VISCOSE 9BLUE MIX 5SWING DRESS 4.05,1
19,0LONG SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8VISCOSE MIX 9NAVY MIX 5SWING DRESS 5.78,0SHORT SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8JERSEY 9NAVY MIX 5SWING DRESS 4.77,1
20,0SHORT SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9BLUE 5TUNICS 6.83,0SLEEVELESS 1NA12 2KNEE LENGTH 3NA3 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN 9OATMEAL 5SHIFT DRESS 5.04,1
21,0SHORT SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9BLUE 5TUNICS 6.83,0LONG SLEEVE 1NA12 2KNEE LENGTH 3NA3 4TEXTURED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8SYNTHETIC 9NAVY 5SWING DRESS 4.17,0
22,0SHORT SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9BLUE 5TUNICS 6.83,0SLEEVELESS 1NA12 2KNEE LENGTH 3NA3 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN 9CHAMBRAY 5SHIFT DRESS 5.04,1
23,0SHORT SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9BLUE 5TUNICS 6.83,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9AQUA 5TUNICS 4.36,1
24,0SHORT SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9BLUE 5TUNICS 6.83,0SHORT SLEEVE 1BUTTON FASTENING 2MINI 3NA3 4STRIPED 2MINI 6ROUND NECK 7UNLINED 8LINEN 9OATMEAL MIX 5SHIFT DRESS 9.63,1
25,0SHORT SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9BLUE 5TUNICS 6.83,0HALF SLEEVE 1PULL ON 2MIDI 3SLIM FIT 4PLAIN 2MIDI 6NA8 7UNLINED 8LINEN 9CHAMBRAY 5BARDOT DRESS 4.11,1
26,0SHORT SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9BLUE 5TUNICS 6.83,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9NAVY 5TUNICS 4.36,0
27,0SHORT SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9BLUE 5TUNICS 6.83,0HALF SLEEVE 1PULL ON 2KNEE LENGTH 3LOOSE FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8COTTON 9BAYLEAF 5TUNICS 4.78,0
28,0SHORT SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9BLUE 5TUNICS 6.83,03 QUARTER SLEEVE 1NA12 2MINI 3NA3 4POLKA DOT 2MINI 6ROUND NECK 7UNLINED 8VISCOSE 9NAVY MIX 5BODYCON DRESS 6.22,0
29,0SHORT SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9BLUE 5TUNICS 6.83,0LONG SLEEVE 1TIE FASTENING 2KNEE LENGTH 3REGULAR FIT 4EMBROIDERED 2KNEE LENGTH 6NOTCH NECK 7UNLINED 8VISCOSE 9NAVY 5SWING DRESS 12.35,0
30,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9PINK MIX 5TUNICS 4.71,0SLEEVELESS 1TIE FASTENING 2MIDI 3SLIM FIT 4COLOUR BLOCK 2MIDI 6ROUND NECK 7UNLINED 8POLYESTER MIX 9GREEN MIX 5SKATER DRESS 11.23,0
31,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9PINK MIX 5TUNICS 4.71,0LONG SLEEVE 1BUTTON FASTENING 2MIDI 3NA3 4PLAIN 2MIDI 6COLLARED NECK 7LINED 8VISCOSE 9RED 5SHIRT DRESS 17.06,1
32,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9PINK MIX 5TUNICS 4.71,0LONG SLEEVE 1BUTTON FASTENING 2MIDI 3NA3 4PLAIN 2MIDI 6COLLARED NECK 7UNLINED 8VISCOSE 9BLACK 5SHIRT DRESS 17.06,1
33,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9PINK MIX 5TUNICS 4.71,0LONG SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3SWING FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8JERSEY 9RED MIX 5SWING DRESS 5.78,1
34,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9PINK MIX 5TUNICS 4.71,0LONG SLEEVE 1BUTTON FASTENING 2MIDI 3NA3 4PLAIN 2MIDI 6COLLARED NECK 7LINED 8VISCOSE 9BLACK 5SHIRT DRESS 17.06,1
35,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9PINK MIX 5TUNICS 4.71,0LONG SLEEVE 1BUTTON FASTENING 2MIDI 3NA3 4PLAIN 2MIDI 6COLLARED NECK 7UNLINED 8VISCOSE 9RED 5SHIRT DRESS 17.06,1
36,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9PINK MIX 5TUNICS 4.71,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9NAVY MIX 5TUNICS 4.69,0
37,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9PINK MIX 5TUNICS 4.71,0SHORT SLEEVE 1NA12 2MAXI 3NA3 4PLAIN 2MAXI 6ROUND NECK 7UNLINED 8COTTON 9NAVY 5SHIFT DRESS 4.27,0
38,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9PINK MIX 5TUNICS 4.71,0SLEEVELESS 1NA12 2KNEE LENGTH 3NA3 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN 9NAVY 5SHIFT DRESS 4.57,0
39,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9PINK MIX 5TUNICS 4.71,0LONG SLEEVE 1NA12 2MINI 3NA3 4FLORAL 2MINI 6V NECK 7UNLINED 8VISCOSE 9NAVY MIX 5RELAXED DRESS 7.99,0
40,0HALF SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4FLORAL 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9IVORY MIX 5TUNICS 6.55,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7LINED 8LINEN MIX 9IVORY 5TUNICS 5.63,0
41,0HALF SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4FLORAL 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9IVORY MIX 5TUNICS 6.55,0SLEEVELESS 1PULL ON 2MIDI 3LOOSE FIT 4PRINTED 2MIDI 6V NECK 7UNLINED 8VISCOSE 9YELLOW MIX 5SLIP DRESS 5.01,1
42,0HALF SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4FLORAL 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9IVORY MIX 5TUNICS 6.55,0SLEEVELESS 1NA12 2MAXI 3NA3 4STRIPED 2MAXI 6ROUND NECK 7UNLINED 8VISCOSE 9BLUE MIX 5SLIP DRESS 6.79,0
43,0HALF SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4FLORAL 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9IVORY MIX 5TUNICS 6.55,0SLEEVELESS 1BUTTON FASTENING 2MIDI 3REGULAR FIT 4PLAIN 2MIDI 6COLLARED NECK 7UNLINED 8POLYESTER MIX 9CORAL 5SHIRT DRESS 13.04,0
44,0HALF SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4FLORAL 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9IVORY MIX 5TUNICS 6.55,0SHORT SLEEVE 1BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4FLORAL 2KNEE LENGTH 6V NECK 7LINED 8POLYESTER MIX 9IVORY MIX 5TEA DRESS 9.75,1
45,0HALF SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4FLORAL 2KNEE LENGTH 6SQUARE NECK 7UNLINED 8LINEN MIX 9IVORY MIX 5TUNICS 6.55,0SLEEVELESS 1PULL ON 2MIDI 3LOOSE FIT 4STRIPED 2MIDI 6V NECK 7UNLINED 8LINEN MIX 9MULTI 5SLIP DRESS 12.71,1
46,0HALF SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4FLORAL 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9BLACK MIX 5TUNICS 11.17,0LONG SLEEVE 1NA12 2MINI 3NA3 4ANIMAL PRINT 2MINI 6HIGH NECK 7UNLINED 8VISCOSE 9RED MIX 5SWING DRESS 7.03,1
47,0HALF SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4FLORAL 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9BLACK MIX 5TUNICS 11.17,0SLEEVELESS 1PULL ON 2MIDI 3SWING FIT 4PRINTED 2MIDI 6SQUARE NECK 7UNLINED 8LINEN MIX 9YELLOW MIX 5SKATER DRESS 10.31,0
48,0LONG SLEEVE 1BUTTON THROUGH 2MIDI 3FIT AND FLARE 4PRINTED 2MIDI 6COLLARED NECK 7UNLINED 8POLYESTER 9BLACK MIX 5SHIRT DRESS 13.12,0SHORT SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6COLLARED NECK 7UNLINED 8COTTON 9CHAMRAY 5SHIFT DRESS 8.09,0
49,0LONG SLEEVE 1BUTTON THROUGH 2MIDI 3FIT AND FLARE 4PRINTED 2MIDI 6COLLARED NECK 7UNLINED 8POLYESTER 9BLACK MIX 5SHIRT DRESS 13.12,0SHORT SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8JERSEY 9NAVY MIX 5SWING DRESS 4.77,1
50,0LONG SLEEVE 1PULL ON 2MIDI 3REGULAR FIT 4EMBROIDERED 2MIDI 6V NECK 7UNLINED 8POLYESTER 9BLACK MIX 5TUNICS 12.13,0SHORT SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8POLYESTER 9BLACK 5TUNICS 5.05,1
51,0LONG SLEEVE 1PULL ON 2MIDI 3REGULAR FIT 4EMBROIDERED 2MIDI 6V NECK 7UNLINED 8POLYESTER 9BLACK MIX 5TUNICS 12.13,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4STRIPED 2KNEE LENGTH 6ROUND NECK 7LINED 8LINEN MIX 9NAVY MIX 5TUNICS 4.69,0
52,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8POLYESTER 9BLACK MIX 5TUNICS 7.84,0SLEEVELESS 1BACK BUTTON FASTENING 2MINI 3REGULAR FIT 4EMBROIDERED 2MINI 6HIGH NECK 7LINED 8COTTON 9IVORY 5TUNICS 24.38,0
53,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8POLYESTER 9BLACK MIX 5TUNICS 7.84,0LONG SLEEVE 1TIE FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6COLLARED NECK 7UNLINED 8POLYESTER 9COCOA 5TUNICS 12.44,0
54,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8POLYESTER 9BLACK MIX 5TUNICS 7.84,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9NAVY MIX 5TUNICS 4.69,1
55,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8POLYESTER 9BLACK MIX 5TUNICS 7.84,0SHORT SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8POLYESTER 9BLACK 5TUNICS 5.05,0
56,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8POLYESTER 9BLACK MIX 5TUNICS 7.84,0LONG SLEEVE 1PULL ON 2MIDI 3REGULAR FIT 4SPOTTY 2MIDI 6ROUND NECK 7UNLINED 8POLYESTER MIX 9RUST 5DROP WAIST 13.39,1
57,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8POLYESTER 9BLACK MIX 5TUNICS 7.84,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9NAVY MIX 5TUNICS 4.69,1
58,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8COTTON 9GREEN MIX 5TUNICS 10.48,0LONG SLEEVE 1PULL ON 2MIDI 3REGULAR FIT 4SPOTTY 2MIDI 6ROUND NECK 7UNLINED 8POLYESTER MIX 9RUST 5DROP WAIST 13.39,1
59,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8COTTON 9GREEN MIX 5TUNICS 10.48,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9NAVY MIX 5TUNICS 4.69,1
60,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8COTTON 9GREEN MIX 5TUNICS 10.48,0LONG SLEEVE 1NA12 2KNEE LENGTH 3NA3 4TEXTURED 2KNEE LENGTH 6HIGH NECK 7UNLINED 8VISCOSE 9GREY MARL 5SHIFT DRESS 6.75,0
61,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8COTTON 9GREEN MIX 5TUNICS 10.48,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8POLYESTER 9BLACK MIX 5TUNICS 7.84,1
62,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8COTTON 9GREEN MIX 5TUNICS 10.48,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9NAVY MIX 5TUNICS 4.69,1
63,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8COTTON 9GREEN MIX 5TUNICS 10.48,0SLEEVELESS 1BACK BUTTON FASTENING 2MIDI 3REGULAR FIT 4CHECKED 2MIDI 6V NECK 7LINED 8COTTON 9FLAME 5FIT AND FLARE DRESS 11.78,0
64,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8COTTON 9GREEN MIX 5TUNICS 10.48,0HALF SLEEVE 1PULL ON 2KNEE LENGTH 3LOOSE FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8COTTON 9INDIGO 5TUNICS 4.78,0
65,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8COTTON 9GREEN MIX 5TUNICS 10.48,0SHORT SLEEVE 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8POLYESTER 9BLACK 5TUNICS 5.05,0
66,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8COTTON 9GREEN MIX 5TUNICS 10.48,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4PRINTED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8LINEN MIX 9NAVY MIX 5TUNICS 4.69,1
